name,type,value,date
First Reformed,A24,1205407.00,1
Upgrade,BH Tilt,6961605.00,1
Solo: A Star Wars Story,BV,160951474.00,1
Avengers: Infinity War,BV,647897699.00,1
Deadpool 2,Fox,265015541.00,1
Show Dogs,Global Road,15626944.00,1
RBG,Magn.,8433572.00,1
Book Club,Par.,52674124.00,1
Action Point,Par.,3568033.00,1
A Quiet Place,Par.,184460343.00,1
Overboard (2018),PNT,46427579.00,1
Adrift,STX,16690025.00,1
Breaking In (2018),Uni.,42636185.00,1
Life of the Party,WB (NL),48161577.00,1
Rampage (2018),WB (NL),95434392.00,1
Hereditary,A24,20161120.00,2
Upgrade,BH Tilt,10559965.00,2
Solo: A Star Wars Story,BV,183764087.00,2
Avengers: Infinity War,BV,658903950.00,2
Deadpool 2,Fox,285880808.00,2
Hotel Artemis,Global Road,4813519.00,2
Book Club,Par.,60150093.00,2
A Quiet Place,Par.,186098807.00,2
Action Point,Par.,5059608.00,2
Overboard (2018),PNT,48131784.00,2
Superfly,Sony,2141317.00,2
Adrift,STX,24705145.00,2
Breaking In (2018),Uni.,44739605.00,2
Ocean's 8,WB,59620170.00,2
Life of the Party,WB (NL),51401768.00,2
Hereditary,A24,31191966.00,3
Upgrade,BH Tilt,11388400.00,3
Incredibles 2,BV,269446690.00,3
Solo: A Star Wars Story,BV,198131870.00,3
Avengers: Infinity War,BV,666984449.00,3
A Wrinkle in Time,BV,100299926.00,3
Won't You Be My Neighbor?,Focus,2255778.00,3
Deadpool 2,Fox,298900321.00,3
Hotel Artemis,Global Road,6485974.00,3
Book Club,Par.,63739212.00,3
Superfly,Sony,11916395.00,3
Adrift,STX,28302935.00,3
Gotti,VE,2441691.00,3
Ocean's 8,WB,88735760.00,3
Tag,WB (NL),22167545.00,3
Hereditary,A24,37119753.00,4
Incredibles 2,BV,394183514.00,4
Solo: A Star Wars Story,BV,204986115.00,4
Avengers: Infinity War,BV,671082712.00,4
Won't You Be My Neighbor?,Focus,5197082.00,4
Deadpool 2,Fox,306899858.00,4
Book Club,Par.,65453632.00,4
Overboard (2018),PNT,49973946.00,4
Superfly,Sony,16979119.00,4
Adrift,STX,29614851.00,4
Jurassic World: Fallen Kingdom,Uni.,204787335.00,4
Gotti,VE,3648287.00,4
Ocean's 8,WB,106672181.00,4
Tag,WB (NL),35252808.00,4
Rampage (2018),WB (NL),97800102.00,4
Hereditary,A24,40860630.00,5
Incredibles 2,BV,475361414.00,5
Solo: A Star Wars Story,BV,209860097.00,5
Avengers: Infinity War,BV,673929474.00,5
Sanju,FIP,4727579.00,5
Won't You Be My Neighbor?,Focus,9791727.00,5
